S,S,S,S,W,W,W,R,R,R,R,W,W,L,L,L,L,L,W,W,W,O,O,O,O
S,S,S,S,S,W,W,R,R,R,R,R,W,L,L,L,L,L,W,W,W,O,O,O,O
S,S,S,S,S,W,W,R,R,R,R,R,W,LL,L,L,L,L,W,W,O,O,O,O,O
S,S,S,S,S,W,W,R,R,R,R,R,W,L,L,L,L,L,W,W,O,O,O,O,O
S,SN,S,S,S,W,W,R,RN,R,R,R,W,L,LN,L,L,L,W,W,O,ON,O,O,O
S,S,S,S,S,W,W,R,R,R,R,RR,W,L,L,L,L,L,W,W,OD,O,O,O,O
S,S,S,SD,W,W,W,R,RD,R,R,R,W,W,L,LD,L,W,W,W,W,O,O,O,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
H,H,H,H,H,H,W,W,W,X,X,X,X,X,X,X,W,W,W,D,D,D,D,D,D
H,H,H,H,H,H,W,W,W,X,X,X,X,X,X,X,W,W,W,D,D,D,D,D,D
H,H,H,H,H,H,W,W,W,X,X,X,X,X,X,X,W,W,W,DL,D,D,D,D,D
H,HN,H,H,H,HR,W,W,W,X,X,XN,X,X,X,X,W,W,W,DL,D,DN,D,D,D
H,H,H,H,H,HR,W,W,W,X,X,X,X,X,X,X,W,W,W,D,D,D,D,D,D
H,H,H,H,H,H,W,W,W,X,X,X,X,X,X,X,W,W,W,D,D,D,D,D,D
H,H,H,HD,H,H,W,W,W,W,W,W,W,W,W,W,W,W,W,D,D,D,D,D,D
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,B,BU,BU,BU,B,W,W,W,W,W,W,W,W,W,W
W,C,C,C,C,W,W,W,W,B,B,B,B,B,B,B,W,W,W,W,KL,K,K,K,K
C,C,C,C,CR,W,W,W,W,B,B,B,B,B,B,B,W,W,W,K,K,K,K,K,K
C,C,C,C,CR,W,W,W,W,BL,B,B,B,B,B,B,W,W,KU,K,K,K,K,K,K
C,CN,C,C,C,W,W,W,W,B,B,BN,B,B,B,B,W,W,K,K,K,KN,K,K,K
C,C,C,C,C,C,W,W,W,B,B,B,B,B,B,B,W,W,K,K,K,K,K,K,K
C,C,C,C,C,C,W,W,W,B,B,B,B,B,B,B,W,W,K,K,K,K,K,K,K
C,C,C,C,C,C,W,W,W,W,B,B,B,B,B,W,W,W,K,K,K,K,K,K,K
